rank	hand	abbreviation	description
288	4 4 4 13 13	FH	Fours Full over Kings
289	4 4 4 12 12	FH	Fours Full over Queens
290	4 4 4 11 11	FH	Fours Full over Jacks
291	4 4 4 10 10	FH	Fours Full over Tens
292	4 4 4 9 9	FH	Fours Full over Nines
293	4 4 4 8 8	FH	Fours Full over Eights
294	4 4 4 7 7	FH	Fours Full over Sevens
295	4 4 4 6 6	FH	Fours Full over Sixes
296	4 4 4 5 5	FH	Fours Full over Fives
297	4 4 4 3 3	FH	Fours Full over Treys
298	4 4 4 2 2	FH	Fours Full over Deuces
299	3 3 3 14 14	FH	Treys Full over Aces
300	3 3 3 13 13	FH	Treys Full over Kings
301	3 3 3 12 12	FH	Treys Full over Queens
302	3 3 3 11 11	FH	Treys Full over Jacks
303	3 3 3 10 10	FH	Treys Full over Tens
304	3 3 3 9 9	FH	Treys Full over Nines
305	3 3 3 8 8	FH	Treys Full over Eights
306	3 3 3 7 7	FH	Treys Full over Sevens
307	3 3 3 6 6	FH	Treys Full over Sixes
308	3 3 3 5 5	FH	Treys Full over Fives
309	3 3 3 4 4	FH	Treys Full over Fours
310	3 3 3 2 2	FH	Treys Full over Deuces
311	2 2 2 14 14	FH	Deuces Full over Aces
312	2 2 2 13 13	FH	Deuces Full over Kings
313	2 2 2 12 12	FH	Deuces Full over Queens
314	2 2 2 11 11	FH	Deuces Full over Jacks
315	2 2 2 10 10	FH	Deuces Full over Tens
316	2 2 2 9 9	FH	Deuces Full over Nines
317	2 2 2 8 8	FH	Deuces Full over Eights
318	2 2 2 7 7	FH	Deuces Full over Sevens
319	2 2 2 6 6	FH	Deuces Full over Sixes
320	2 2 2 5 5	FH	Deuces Full over Fives
321	2 2 2 4 4	FH	Deuces Full over Fours
322	2 2 2 3 3	FH	Deuces Full over Treys
323	14 13 12 11 9	F	Ace-High Flush
324	14 13 12 11 8	F	Ace-High Flush
325	14 13 12 11 7	F	Ace-High Flush
326	14 13 12 11 6	F	Ace-High Flush
327	14 13 12 11 5	F	Ace-High Flush
328	14 13 12 11 4	F	Ace-High Flush
329	14 13 12 11 3	F	Ace-High Flush
330	14 13 12 11 2	F	Ace-High Flush
331	14 13 12 10 9	F	Ace-High Flush
332	14 13 12 10 8	F	Ace-High Flush
333	14 13 12 10 7	F	Ace-High Flush
334	14 13 12 10 6	F	Ace-High Flush
335	14 13 12 10 5	F	Ace-High Flush
336	14 13 12 10 4	F	Ace-High Flush
337	14 13 12 10 3	F	Ace-High Flush
338	14 13 12 10 2	F	Ace-High Flush
339	14 13 12 9 8	F	Ace-High Flush
340	14 13 12 9 7	F	Ace-High Flush
341	14 13 12 9 6	F	Ace-High Flush
342	14 13 12 9 5	F	Ace-High Flush
343	14 13 12 9 4	F	Ace-High Flush
344	14 13 12 9 3	F	Ace-High Flush
345	14 13 12 9 2	F	Ace-High Flush
346	14 13 12 8 7	F	Ace-High Flush
347	14 13 12 8 6	F	Ace-High Flush
348	14 13 12 8 5	F	Ace-High Flush
349	14 13 12 8 4	F	Ace-High Flush
